species,lifestage,URL,SAME_AS,LOCAL_PATH,hex,rgb,Layer.ID,WMS,wmsURL
CUBERASNAPPER,adult,https://api.mapbox.com/styles/v1/claireroberts/cixw8ay8200122rqj0ymtz2hl/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cubera Snapper\adults,#ffff33,"rgb(255,255,51)",41,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/41
CUBERASNAPPER,earlyJuvenile,https://api.mapbox.com/styles/v1/claireroberts/ciy1ixazz005j2rmhop5py8gu/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cubera Snapper\earlyJuvenilesDis,#984EA3,"rgb(152,78,163)",42,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/42
CUBERASNAPPER,lateJuvenile,https://api.mapbox.com/styles/v1/claireroberts/ciy1j990e00672soz2jdm3a6e/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cubera Snapper\lateJuvenilesDis,#FF7F00,"rgb(255,127,0)",43,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/43
CUBERASNAPPER,spawningAdult,https://api.mapbox.com/styles/v1/claireroberts/ciy1jcp7o00692rqju3fbm7qm/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cubera Snapper\spawningAdultsDis,#a65628,"rgb(166,86,40)",44,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/44
CUBERASNAPPER,larvae,.,UNMAPPABLE,.,#E41A1C,"rgb(228,26,28)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
CUBERASNAPPER,postLarvae,.,UNMAPPABLE,.,#4DAF4A,"rgb(77,175,74)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
CUBERASNAPPER,eggs,https://api.mapbox.com/styles/v1/aquilonaris/ciyg7ion3001c2smyb6x77ytx/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Cubera Snapper\eggs,#F781BF,"rgb(247,129,191)",45,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/45
GAG,adult,https://api.mapbox.com/styles/v1/jfroeschke/ciy1o4dqo006h2rqjqip4yh2o/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,REDSNAPPER/VERMILIONSNAPPER/GAG/GRAYTRIGGERFISH,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\adultsDis,#ffff33,"rgb(255,255,51)",20,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/20
GAG,earlyJuvenile,https://api.mapbox.com/styles/v1/jfroeschke/ciy1o1mel006f2rqjplmklx33/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,YELLOWTAILSNAPPER/GAG,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\earlyJuvenilesDis,#984EA3,"rgb(152,78,163)",151,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/151
GAG,lateJuvenile,https://api.mapbox.com/styles/v1/jfroeschke/ciy1nyd32005f2rr0m24uxxjc/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\lateJuvenilesDis,#FF7F00,"rgb(255,127,0)",46,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/46
GAG,spawningAdult,https://api.mapbox.com/styles/v1/jfroeschke/ciy1nt6hk006i2sozb1nu2s8f/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\spawningAdultsDis,#a65628,"rgb(166,86,40)",47,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/47
GAG,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyek5tfq00172so4fjucp7e8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,BLACKFINSNAPPER/GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\eggs,#F781BF,"rgb(247,129,191)",0,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/0
GAG,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfysi9m000p2ro4ny4r8avp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\larvae,#E41A1C,"rgb(228,26,28)",8,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/8
GAG,postLarvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg4rco3001t2smf18mbt7cb/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,SPECKLEDHIND/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gag\postLarvae,#4DAF4A,"rgb(77,175,74)",23,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/23
GOLDFACETILEFISH,adult,https://api.mapbox.com/styles/v1/jfroeschke/ciy1pk6zc006m2rqj13lxx27u/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Goldface Tilefish\adultsDis,#ffff33,"rgb(255,255,51)",48,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/48
GOLDFACETILEFISH,eggs,.,UNMAPPABLE,.,#F781BF,"rgb(247,129,191)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
GOLDFACETILEFISH,larvae,.,UNMAPPABLE,.,#E41A1C,"rgb(228,26,28)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
GOLDFACETILEFISH,postLarvae,.,UNMAPPABLE,.,#4DAF4A,"rgb(77,175,74)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
GOLDFACETILEFISH,earlyJuvenile,.,UNMAPPABLE,.,#984EA3,"rgb(152,78,163)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
GOLDFACETILEFISH,lateJuvenile,.,UNMAPPABLE,.,#FF7F00,"rgb(255,127,0)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
GOLDFACETILEFISH,spawningAdult,.,UNMAPPABLE,.,#a65628,"rgb(166,86,40)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
GOLIATHGROUPER,adult,https://api.mapbox.com/styles/v1/jfroeschke/ciy1pww59006o2rqj7kfz8eqw/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Goliath Grouper\adultsDis,#ffff33,"rgb(255,255,51)",49,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/49
GOLIATHGROUPER,earlyJuvenile,https://api.mapbox.com/styles/v1/jfroeschke/ciy1uiu06005i2sp64rl11gbv/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Goliath Grouper\earlyJuvenilesDis,#984EA3,"rgb(152,78,163)",50,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/50
GOLIATHGROUPER,lateJuvenile,https://api.mapbox.com/styles/v1/jfroeschke/ciy1so4mp00702rqjyptqp5y8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Goliath Grouper\lateJuvenilesDis,#FF7F00,"rgb(255,127,0)",51,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/51
GOLIATHGROUPER,postLarvae,https://api.mapbox.com/styles/v1/jfroeschke/ciy1sfswt006k2rmhpo7vmc44/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Goliath Grouper\postLarvaeDis,#4DAF4A,"rgb(77,175,74)",52,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/52
GOLIATHGROUPER,spawningAdult,https://api.mapbox.com/styles/v1/jfroeschke/ciy1scecz005t2rr0t63qz3a1/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Goliath Grouper\spawningAdultsDis,#a65628,"rgb(166,86,40)",53,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/53
GOLIATHGROUPER,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfxfggn00162sluselpirhp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,GOLIATHGROUPER/YELLOWMOUTHGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Goliath Grouper\larvae,#E41A1C,"rgb(228,26,28)",6,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/6
GOLIATHGROUPER,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfxgmkq00172slumm8ornly/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,GOLIATHGROUPER/YELLOWMOUTHGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Goliath Grouper\eggs,#F781BF,"rgb(247,129,191)",7,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/7
GRAYSNAPPER,adult,https://api.mapbox.com/styles/v1/ceroberts/ciy4ccsmj000p2surwk6jbnch/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\adultsDis,#ffff33,"rgb(255,255,51)",54,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/54
GRAYSNAPPER,earlyJuvenile,https://api.mapbox.com/styles/v1/ceroberts/ciy4cbgza000f2so428l2b7gx/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\earlyJuvenilesDis,#984EA3,"rgb(152,78,163)",55,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/55
GRAYSNAPPER,lateJuvenile,https://api.mapbox.com/styles/v1/ceroberts/ciy4ca9m5000h2sqo5qggc3py/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\lateJuvenilesDis,#FF7F00,"rgb(255,127,0)",56,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/56
GRAYSNAPPER,postLarvae,https://api.mapbox.com/styles/v1/ceroberts/ciy4c9a14000g2sqo299sgf8i/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\postLarvaeDis,#4DAF4A,"rgb(77,175,74)",57,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/57
GRAYSNAPPER,spawningAdult,https://api.mapbox.com/styles/v1/ceroberts/ciy4c612c000e2so4fvplo895/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\spawningAdultsDis,#a65628,"rgb(166,86,40)",58,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/58
GRAYSNAPPER,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyek5tfq00172so4fjucp7e8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,BLACKFINSNAPPER/GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\eggs,#F781BF,"rgb(247,129,191)",0,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/0
GRAYSNAPPER,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfysi9m000p2ro4ny4r8avp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\larvae,#E41A1C,"rgb(228,26,28)",8,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/8
GRAYTRIGGERFISH,adult,https://api.mapbox.com/styles/v1/jfroeschke/ciy1o4dqo006h2rqjqip4yh2o/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,REDSNAPPER/VERMILIONSNAPPER/GAG/GRAYTRIGGERFISH,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Triggerfish\adultsDis,#ffff33,"rgb(255,255,51)",20,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/20
GRAYTRIGGERFISH,earlyJuvenile,https://api.mapbox.com/styles/v1/jfroeschke/ciy1vglx300772rqjv3vcpr0z/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Triggerfish\earlyJuvenilesDis,#984EA3,"rgb(152,78,163)",59,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/59
GRAYTRIGGERFISH,lateJuvenile,https://api.mapbox.com/styles/v1/jfroeschke/ciy1vdn9u005m2sp6pn7hlkry/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Triggerfish\lateJuvenilesDis,#FF7F00,"rgb(255,127,0)",60,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/60
GRAYTRIGGERFISH,spawningAdult,https://api.mapbox.com/styles/v1/jfroeschke/ciy1va464005k2sp6cpk6mg12/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Triggerfish\spawningAdultsDis,#a65628,"rgb(166,86,40)",61,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/61
GRAYTRIGGERFISH,larvae,.,UNMAPPABLE,.,#E41A1C,"rgb(228,26,28)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
GRAYTRIGGERFISH,postLarvae,.,UNMAPPABLE,.,#4DAF4A,"rgb(77,175,74)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
GRAYTRIGGERFISH,earlyJuvenile,.,UNMAPPABLE,.,#984EA3,"rgb(152,78,163)",.,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/.
GRAYTRIGGERFISH,eggs,https://api.mapbox.com/styles/v1/aquilonaris/ciyk2thgv000k2snn5myhmexc/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Triggerfish\EGGS,#F781BF,"rgb(247,129,191)",62,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/62
GREATERAMBERJACK,adult,https://api.mapbox.com/styles/v1/auburngrad2015/ciyeosl4j001t2smycwbss1mp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,COBIA/GREATERAMBERJACK/KINGMACKEREL,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Greater Amberjack\WCA_adult,#ffff33,"rgb(255,255,51)",5,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/5
GREATERAMBERJACK,lateJuvenile,https://api.mapbox.com/styles/v1/aquilonaris/ciyk36a80000l2snnkr8eklh8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Greater Amberjack\WCA_lateJuveniles,#FF7F00,"rgb(255,127,0)",63,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/63
GREATERAMBERJACK,spawningAdult,https://api.mapbox.com/styles/v1/aquilonaris/ciyk4w2bj000n2smga7a6ozvi/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Greater Amberjack\WCA_spawningAdults,#a65628,"rgb(166,86,40)",64,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/,http://portal.gulfcouncil.org/arcgis/rest/services/CoralWorkingGroup/EFHLayers/MapServer/64
