,species,lifestage,URL,WMS,Layer_ID,SAME_AS,LOCAL_PATH,COLORS
71,GOLIATHGROUPER,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfxgmkq00172slumm8ornly/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,GOLIATHGROUPER/YELLOWMOUTHGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Goliath Grouper\eggs,#F781BF
72,GRAYSNAPPER,adult,https://api.mapbox.com/styles/v1/ceroberts/ciy4ccsmj000p2surwk6jbnch/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\adultsDis,#ffff33
73,GRAYSNAPPER,earlyJuvenile,https://api.mapbox.com/styles/v1/ceroberts/ciy4cbgza000f2so428l2b7gx/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\earlyJuvenilesDis,#984EA3
74,GRAYSNAPPER,lateJuvenile,https://api.mapbox.com/styles/v1/ceroberts/ciy4ca9m5000h2sqo5qggc3py/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\lateJuvenilesDis,#FF7F00
75,GRAYSNAPPER,postLarvae,https://api.mapbox.com/styles/v1/ceroberts/ciy4c9a14000g2sqo299sgf8i/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\postLarvaeDis,#4DAF4A
76,GRAYSNAPPER,spawningAdult,https://api.mapbox.com/styles/v1/ceroberts/ciy4c612c000e2so4fvplo895/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\spawningAdultsDis,#a65628
77,GRAYSNAPPER,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyek5tfq00172so4fjucp7e8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,BLACKFINSNAPPER/GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\eggs,#F781BF
78,GRAYSNAPPER,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfysi9m000p2ro4ny4r8avp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Snapper\larvae,#E41A1C
79,GRAYTRIGGERFISH,adult,https://api.mapbox.com/styles/v1/jfroeschke/ciy1o4dqo006h2rqjqip4yh2o/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,,,REDSNAPPER/VERMILIONSNAPPER/GAG/GRAYTRIGGERFISH,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Triggerfish\adultsDis,#ffff33
80,GRAYTRIGGERFISH,earlyJuvenile,https://api.mapbox.com/styles/v1/jfroeschke/ciy1vglx300772rqjv3vcpr0z/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Triggerfish\earlyJuvenilesDis,#984EA3
81,GRAYTRIGGERFISH,lateJuvenile,https://api.mapbox.com/styles/v1/jfroeschke/ciy1vdn9u005m2sp6pn7hlkry/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Triggerfish\lateJuvenilesDis,#FF7F00
82,GRAYTRIGGERFISH,spawningAdult,https://api.mapbox.com/styles/v1/jfroeschke/ciy1va464005k2sp6cpk6mg12/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiamZyb2VzY2hrZSIsImEiOiI5SHgwTWk4In0.J6IfXVALdDraXPBfPcyITg,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Triggerfish\spawningAdultsDis,#a65628
83,GRAYTRIGGERFISH,larvae,.,,,UNMAPPABLE,.,#E41A1C
84,GRAYTRIGGERFISH,postLarvae,.,,,UNMAPPABLE,.,#4DAF4A
85,GRAYTRIGGERFISH,earlyJuvenile,.,,,UNMAPPABLE,.,#984EA3
86,GRAYTRIGGERFISH,eggs,https://api.mapbox.com/styles/v1/aquilonaris/ciyk2thgv000k2snn5myhmexc/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Gray Triggerfish\EGGS,#F781BF
87,GREATERAMBERJACK,adult,https://api.mapbox.com/styles/v1/auburngrad2015/ciyeosl4j001t2smycwbss1mp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,COBIA/GREATERAMBERJACK/KINGMACKEREL,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Greater Amberjack\WCA_adult,#ffff33
88,GREATERAMBERJACK,lateJuvenile,https://api.mapbox.com/styles/v1/aquilonaris/ciyk36a80000l2snnkr8eklh8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Greater Amberjack\WCA_lateJuveniles,#FF7F00
89,GREATERAMBERJACK,spawningAdult,https://api.mapbox.com/styles/v1/aquilonaris/ciyk4w2bj000n2smga7a6ozvi/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Greater Amberjack\WCA_spawningAdults,#a65628
90,GREATERAMBERJACK,earlyJuvenile,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfz9p9o000x2sl8mptahh45/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,GREATERAMBERJACK/ALMACOJACK,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Greater Amberjack\earlyJuvenilesDis,#984EA3
91,GREATERAMBERJACK,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfzzbte000t2ro4lzee0ci0/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,KINGMACKEREL/REDSNAPPER/VERMILIONSNAPPER/YELLOWEDGEGROUPER/WARSAWGROUPER/TILEFISH/GREATERAMBERJACK/SPINYLOBSTER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Greater Amberjack\larvae,#E41A1C
92,GREATERAMBERJACK,postLarvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg3xs68000t2smyomz5n2xv/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,REDSNAPPER/VERMILIONSNAPPER/YELLOWEDGEGROUPER/WARSAWGROUPER/TILEFISH/GREATERAMBERJACK,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Greater Amberjack\postLarvae,#4DAF4A
93,HOGFISH,adult,https://api.mapbox.com/styles/v1/claireroberts/cixuhtoo1002t2rnrcn7gtc2t/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,,,BLACKGROUPER/HOGFISH/REDGROUPER/SCAMP/YELLOWTAILSNAPPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Hogfish\adultsDis,#ffff33
94,HOGFISH,earlyJuvenile,https://api.mapbox.com/styles/v1/claireroberts/cixvtd3g400062rr05pz3dn9x/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,,,HOGFISH/BLACKGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Hogfish\earlyJuvenilesDis,#984EA3
95,HOGFISH,lateJuvenile,https://api.mapbox.com/styles/v1/ceroberts/ciya8w1ri002t2rp7yfo3e5d8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Hogfish\lateJuvenilesDis,#FF7F00
96,HOGFISH,spawningAdult,https://api.mapbox.com/styles/v1/ceroberts/ciya92wzk002i2sqj9zpm4dl5/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Hogfish\spawningAdultsD2,#a65628
97,HOGFISH,eggs,.,,,UNMAPPABLE,.,#F781BF
98,HOGFISH,larvae,.,,,UNMAPPABLE,.,#E41A1C
99,HOGFISH,postLarvae,.,,,UNMAPPABLE,.,#4DAF4A
100,KINGMACKEREL,postLarvae,.,,,UNMAPPABLE,.,#4DAF4A
101,KINGMACKEREL,adult,https://api.mapbox.com/styles/v1/auburngrad2015/ciyeosl4j001t2smycwbss1mp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,COBIA/GREATERAMBERJACK/KINGMACKEREL,X:\Claire\EFH GIS files\SpeciesHabitatLayers\King Mackerel\WCA_adult,#ffff33
102,KINGMACKEREL,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg20c4i001g2sl8pzrn88ci/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,KINGMACKEREL/WENCHMAN,X:\Claire\EFH GIS files\SpeciesHabitatLayers\King Mackerel\eggs,#F781BF
103,KINGMACKEREL,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfzzbte000t2ro4lzee0ci0/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,KINGMACKEREL/REDSNAPPER/VERMILIONSNAPPER/YELLOWEDGEGROUPER/WARSAWGROUPER/TILEFISH/GREATERAMBERJACK/SPINYLOBSTER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\King Mackerel\larvae,#E41A1C
104,KINGMACKEREL,earlyJuvenile,.,,,UNMAPPABLE,.,#984EA3
105,KINGMACKEREL,lateJuvenile,https://api.mapbox.com/styles/v1/aquilonaris/ciyk7rc5h000l2rqqched7uiu/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\King Mackerel\lateJuveniles,#FF7F00
106,KINGMACKEREL,spawningAdult,https://api.mapbox.com/styles/v1/aquilonaris/ciyk7vfsb000n2rqq7z99b7kz/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\King Mackerel\spawningAdults,#a65628
107,LANESNAPPER,spawningAdult,https://api.mapbox.com/styles/v1/ceroberts/ciya95lfx002s2rqfttsupkjm/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,LANE SNAPPER/YELLOWEDGE GROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Lane Snappper\spawningAdultsDis,#a65628
108,LANESNAPPER,adult,https://api.mapbox.com/styles/v1/ceroberts/ciya99t4f002v2rp7o90xp5le/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Lane Snappper\adultsDis,#ffff33
109,LANESNAPPER,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg41scv001s2smfeycgjqvh/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,REDSNAPPER/LANESNAPPER/VERMILIONSNAPPER/YELLOWEDGEGROUPER/WARSAWGROUPER/TILEFISH,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Lane Snappper\eggs,#F781BF
110,LANESNAPPER,larvae,https://api.mapbox.com/styles/v1/aquilonaris/ciyk7zj5p000v2smgfkor6tyk/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Lane Snappper\larvae,#E41A1C
111,LANESNAPPER,postLarvae,https://api.mapbox.com/styles/v1/aquilonaris/ciyk82bvj000w2smgqi8xhxhp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Lane Snappper\WCA_postLarvae,#4DAF4A
112,LANESNAPPER,earlyJuvenile,https://api.mapbox.com/styles/v1/ceroberts/ciyaafq4900332snpuwxlzlja/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Lane Snappper\earlyJuvenilesDis,#984EA3
113,LANESNAPPER,lateJuvenile,https://api.mapbox.com/styles/v1/ceroberts/ciyabh4c200372snpbylxw3z8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Lane Snappper\lateJuvenilesDis,#FF7F00
114,LESSERAMBERJACK,adult,https://api.mapbox.com/styles/v1/ceroberts/ciyabkfoq00382snpztu8eqbu/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Lesser Amberjack\adultsDis,#ffff33
115,LESSERAMBERJACK,lateJuvenile,https://api.mapbox.com/styles/v1/ceroberts/ciyabmyr000302rqf3oz5xpeq/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Lesser Amberjack\lateJuvenilesDis,#FF7F00
116,LESSERAMBERJACK,spawningAdult,https://api.mapbox.com/styles/v1/ceroberts/ciyabquzn002q2sqjc5febh4q/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Lesser Amberjack\spawningAdultsDis,#a65628
117,LESSERAMBERJACK,eggs,.,,,UNMAPPABLE,.,#F781BF
118,LESSERAMBERJACK,larvae,.,,,UNMAPPABLE,.,#E41A1C
119,LESSERAMBERJACK,postLarvae,.,,,UNMAPPABLE,.,#4DAF4A
120,MUTTONSNAPPER,adult,https://api.mapbox.com/styles/v1/ceroberts/ciyaceve200322rqfvht9jgcx/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Mutton Snapper\adultsDis,#ffff33
121,MUTTONSNAPPER,earlyJuvenile,https://api.mapbox.com/styles/v1/ceroberts/ciyad2m6j00362spgmstc5mq9/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,MUTTONSNAPPER/YELLOWFINGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Mutton Snapper\earlyJuvenilesDis,#984EA3
122,MUTTONSNAPPER,lateJuvenile,https://api.mapbox.com/styles/v1/ceroberts/ciyad5bju00352rqf9bs67m1f/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Mutton Snapper\lateJuvenilesDis,#FF7F00
123,MUTTONSNAPPER,spawningAdult,https://api.mapbox.com/styles/v1/ceroberts/ciyad9vwd00382spgcprufvhl/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,MUTTONSNAPPER/YELLOWFINGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Mutton Snapper\spawningAdultsDis,#a65628
124,MUTTONSNAPPER,eggs,.,,,UNMAPPABLE,.,#F781BF
125,MUTTONSNAPPER,larvae,.,,,UNMAPPABLE,.,#E41A1C
126,MUTTONSNAPPER,postLarvae,.,,,UNMAPPABLE,.,#4DAF4A
127,PINKSHRIMP,fertilizedEgg,https://api.mapbox.com/styles/v1/ceroberts/ciyaex0md003g2snpg0vmkuw3/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Pink Shrimp\fertilizedEggsDis,#F781BF
128,PINKSHRIMP,latePostlarvaeJuvenile,https://api.mapbox.com/styles/v1/tazmichael/ciyag7mzb003i2rqff9fnq8bo/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoidGF6bWljaGFlbCIsImEiOiJjaXlhZjdyMzYwMGJhMzJveGRzY3o2cjAwIn0.2D-NGFRuABTPLLcDy3Svow,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Pink Shrimp\latePostlarvaeJuvenilesDis,#984EA3
129,PINKSHRIMP,nonSpawningAdult,https://api.mapbox.com/styles/v1/tazmichael/ciyagaxur003a2sqjsnd5aqah/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoidGF6bWljaGFlbCIsImEiOiJjaXlhZjdyMzYwMGJhMzJveGRzY3o2cjAwIn0.2D-NGFRuABTPLLcDy3Svow,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Pink Shrimp\nonSpawningAdultsDis,#ffff33
130,PINKSHRIMP,spawningAdult,https://api.mapbox.com/styles/v1/tazmichael/ciyagebam003b2sqjvq412aow/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoidGF6bWljaGFlbCIsImEiOiJjaXlhZjdyMzYwMGJhMzJveGRzY3o2cjAwIn0.2D-NGFRuABTPLLcDy3Svow,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Pink Shrimp\spawningAdultsDis,#a65628
131,PINKSHRIMP,subAdult,https://api.mapbox.com/styles/v1/tazmichael/ciyai68uf003p2snp2qt0jusl/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoidGF6bWljaGFlbCIsImEiOiJjaXlhZjdyMzYwMGJhMzJveGRzY3o2cjAwIn0.2D-NGFRuABTPLLcDy3Svow,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Pink Shrimp\subAdultsDis,#FF7F00
132,PINKSHRIMP,larvae,https://api.mapbox.com/styles/v1/aquilonaris/ciyk8l58s000l2rnoejcu5nuv/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Pink Shrimp\larvae,#E41A1C
133,QUEENSNAPPER,adult,https://api.mapbox.com/styles/v1/tazmichael/ciyak5ys1003v2rp7rwbb2ih4/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoidGF6bWljaGFlbCIsImEiOiJjaXlhZjdyMzYwMGJhMzJveGRzY3o2cjAwIn0.2D-NGFRuABTPLLcDy3Svow,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Queen Snapper\adultsDis,#ffff33
134,QUEENSNAPPER,lateJuvenile,.,,,UNMAPPABLE,.,#FF7F00
135,QUEENSNAPPER,spawningAdult,.,,,UNMAPPABLE,.,#a65628
136,QUEENSNAPPER,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg2415c001h2slu8pzm7c7z/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,QUEENSNAPPER/SNOWYGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Queen Snapper\eggs,#F781BF
137,QUEENSNAPPER,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg2cf0v001i2sluw2usa0op/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,QUEENSNAPPER/SNOWYGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Queen Snapper\larvae,#E41A1C
138,QUEENSNAPPER,postLarvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg28vbz001i2sl8xdsklzwk/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,,,QUEENSNAPPER/SNOWYGROUPER,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Queen Snapper\postLarvae,#4DAF4A
139,QUEENSNAPPER,earlyJuvenile,https://api.mapbox.com/styles/v1/aquilonaris/ciyk8ofcy000m2rno08enytz5/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXF1aWxvbmFyaXMiLCJhIjoiY2l5ZzcyMWQ4MDJsazMyb2UwejJueWM1NCJ9.3F8adUgHr-az14e3cqcENQ,,,UNIQUE,X:\Claire\EFH GIS files\SpeciesHabitatLayers\Queen Snapper\earlyJuveniles,#984EA3
